,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle
0,1,1,0.5574115886787574,0.7878666666666667,16.867846250534058,17.241433143615723,0.01,100,True
1,1,2,0.39406154848635194,0.8525,16.409274101257324,33.751052141189575,0.01,100,True
2,1,3,0.36259101587037246,0.8650166666666667,16.531833171844482,50.29627013206482,0.01,100,True
3,2,1,0.5789905283103387,0.7819666666666667,16.354537963867188,16.494282007217407,0.01,100,False
4,2,2,0.39258629985153676,0.8556,16.499433755874634,33.01294803619385,0.01,100,False
5,2,3,0.3616179184367259,0.8667,17.314669132232666,50.340280055999756,0.01,100,False
6,3,1,0.9677430480718613,0.6318166666666667,16.67983317375183,17.625809907913208,0.01,1000,True
7,3,2,0.5536202092965444,0.7921,16.545262098312378,34.18453097343445,0.01,1000,True
8,3,3,0.46503625561793643,0.8301,17.22873616218567,51.42547106742859,0.01,1000,True
9,4,1,0.9742620001236598,0.6248666666666667,18.313980102539062,19.089896202087402,0.01,1000,False
10,4,2,0.5335884377360344,0.7952833333333333,17.054818868637085,36.15857410430908,0.01,1000,False
11,4,3,0.44217850218216576,0.8385666666666667,16.450186014175415,52.622010231018066,0.01,1000,False
12,5,1,0.7584682167569796,0.7142166666666667,16.01283621788025,16.137824058532715,0.001,100,True
13,5,2,0.4961044265826543,0.8148833333333333,16.22260808944702,32.37380790710449,0.001,100,True
14,5,3,0.4370302701741457,0.8406833333333333,16.7566499710083,49.15081810951233,0.001,100,True
15,6,1,0.8285977152486642,0.6894166666666667,16.931527137756348,17.05624008178711,0.001,100,False
16,6,2,0.5396291549007098,0.7994333333333333,17.08643078804016,34.15830397605896,0.001,100,False
17,6,3,0.4690706553061803,0.8286,17.85388684272766,52.026342153549194,0.001,100,False
18,7,1,1.6269195020198821,0.4516,17.55705976486206,18.345046997070312,0.001,1000,True
19,7,2,0.7469158778587978,0.7214833333333334,17.947962045669556,36.31409811973572,0.001,1000,True
20,7,3,0.6301663051048915,0.7612333333333333,17.092387914657593,53.42577505111694,0.001,1000,True
21,8,1,1.5856033941109975,0.4657833333333333,16.55364418029785,17.29105305671692,0.001,1000,False
22,8,2,0.7859221120675405,0.6940833333333334,19.606382846832275,36.91355800628662,0.001,1000,False
23,8,3,0.6658888618151347,0.7364166666666667,17.216492891311646,54.14804029464722,0.001,1000,False
